,PumpGroup,NameGroup,Source,CIVM_ID,Treatment,BadeaID,Genotype,Sex,DOB,Weight,Perfusion ,Age_Months,Age_Imaging,Age_Years,Age_Label,Specimens ID,DWI,GRE,T1,T2,Notes,AgeExVivoMRI,Diet,norm_id,Unnamed: 0,id,file,label
10,XII,28,In House,211004-3:0,Control,211004_3,APOE33,Male ,10/2/16,37.2,11/1/17,12.77,13.0,1.083333333,,211004-3:1,N59001-m00-m48,N59002,83.0,21.0,,12.77,Control,21100403,,,,
11,11,original_2019_scans,In House,190715_10:1,Control,190715_10,APOE22,male,4/25/14,32.3,9/12/15,16.57,17.0,1.38,,190715_10:1,N57462,N57463,112.0,24.0,,16.57,Control,19071510,,,,
12,12,original_2019_scans,In House,190610_4:1,Control,190610_4,APOE44,male,4/2/14,30.6,8/8/15,16.2,16.0,1.35,,190610_4:1,N57464,N57465,114.0,26.0,,16.2,Control,19061004,4.0,19061004,True,True
13,13,original_2019_scans,In House,190610_9:1,Control,190610_9,APOE44,female,4/2/14,24.6,8/8/15,16.2,16.0,1.35,,190610_9:1,N57466,N57467,114.0,28.0,,16.2,Control,19061009,,,,
14,14,original_2019_scans,In House,190610_5:1,Control,190610_5,APOE44,male,4/2/14,32.2,8/8/15,16.2,16.0,1.35,,190610_5:1,N57468,N57469,111.0,26.0,,16.2,Control,19061005,5.0,19061005,True,True
15,15,original_2019_scans,In House,190610_10:1,Control,190610_10,APOE44,female,4/2/14,29.6,8/8/15,16.2,16.0,1.35,,190610_10:1,N57470,N57471,111.0,26.0,,16.2,Control,19061010,0.0,19061010,True,True
16,XII,26,In House,211004-1:0,Control,211004_1,APOE33,Male ,10/14/16,37.1,11/1/17,13.17,13.0,1.083333333,,211004-1:1,N58997-m00-m48,N58998,103.0,26.0,,13.17,Control,21100401,,,,
17,XII,27,In House,211004-2:0,Control,211004_2,APOE33,Male ,10/14/16,36.3,11/1/17,13.17,13.0,1.083333333,,211004-2:1,N58999-m00-m48,N59000,97.0,23.0,,13.17,Control,21100402,,,,
18,VIII,28,In House,210222-10:0,Control,210222_10,APOE33,female,3/7/16,28.9,6/7/17,15.0,15.0,1.25,False,210222-10:1,,,,,,15,Control,21022210,,,,
19,19,original_2019_scans,In House,190715_5:1,Control,190715_5,APOE22,male,5/25/14,32,9/12/15,17.73,18.0,1.48,,190715_5:1,N57552,N57553,115.0,27.0,,17.73,Control,19071505,12.0,19071505,True,True
20,20,original_2019_scans,In House,190715_4:1,Control,190715_4,HN,female,3/20/14,27.8,9/12/15,17.73,18.0,1.48,,190715_4:1,N57554,N57555,114.0,26.0,,17.73,Control,19071504,11.0,19071504,True,True
21,21,original_2019_scans,In House,190909_9:1,Control,190909_9,HN,male,4/25/14,33.4,10/11/15,17.53,18.0,1.46,,190909_9:1,N57559,N57560,149.0,26.0,,17.53,Control,19090909,,,,
22,VIII,29,In House,210222-11:0,Control,210222_11,APOE33,female,3/7/16,28.1,6/7/17,15.0,15.0,1.25,False,210222-11:1,,,,,,15,Control,21022211,,,,
23,VIII,30,In House,210222-12:0,Control,210222_12,APOE33,female,3/7/16,26.8,6/8/17,15.03,15.0,1.25,False,210222-12:1,,,,,,15.03,Control,21022212,,,,
24,VIII,31,In House,210222-13:0,Control,210222_13,APOE33,female,3/7/16,33.8,6/8/17,15.03,15.0,1.25,False,210222-13:1,,,,,,15.03,Control,21022213,,,,
25,VIII,32,In House,210222-14:0,Control,210222_14,APOE33,male,3/7/16,34.6,6/8/17,15.03,15.0,1.25,False,210222-14:1,,,,,,15.03,Control,21022214,,,,
26,VIII,33,In House,210222-15:0,Control,210222_15,APOE33,male,3/7/16,35.7,6/8/17,15.03,15.0,1.25,False,210222-15:1,,,,,,15.03,Control,21022215,,,,
27,26,original_2019_scans,In House,191028_7:1,Control,191028_7,APOE22,male,8/25/14,28,12/3/15,15.27,15.0,1.27,,191028_7:1,N57692,N57693,108.0,24.0,,15.27,Control,19102807,23.0,19102807,True,True
28,27,original_2019_scans,In House,191028_3:1,Control,191028_3,APOE22,female,8/25/14,22.3,12/3/15,15.27,15.0,1.27,,191028_3:1,N57694,N57695,105.0,24.0,,15.27,Control,19102803,19.0,19102803,True,True
29,28,original_2019_scans,In House,191028_6:1,Control,191028_6,APOE22,male,8/25/14,30.3,12/3/15,15.27,15.0,1.27,,191028_6:1,N57700,N57701,120.0,26.0,,15.27,Control,19102806,22.0,19102806,True,True
30,29,original_2019_scans,In House,191028_4:1,Control,191028_4,APOE22,female,8/25/14,24,12/3/15,15.27,15.0,1.27,,191028_4:1,N57702,N57703,106.0,24.0,,15.27,Control,19102804,20.0,19102804,True,True
31,30,original_2019_scans,In House,191028_5:1,Control,191028_5,APOE22,female,8/25/14,22.5,12/3/15,15.27,15.0,1.27,,191028_5:1,N57709,N57710,106.0,24.0,,15.27,Control,19102805,21.0,19102805,True,True
32,I,1,In House,200331-14:0,Control,24,APOE44,male,9/11/14,32.2,4/23/16,19.4,19.0,1.62,True,200331-14:1,N58302_m00-m48,N58301,115.0,26.0,,19.4,Control,20033114,,,,
33,I,3,In House,200331-16:0,Control,26,APOE44,male,11/5/14,33.4,4/23/16,17.6,18.0,1.47,True,200331-16:1,N58303_m00-m48,N58304,119.0,26.0,,17.6,Control,20033116,,,,
34,I,2,In House,200331-15:0,Control,25,APOE44,male,9/11/14,34.1,4/23/16,19.4,19.0,1.62,True,200331-15:1,N58305_m00-m48,N58306,126.0,25.0,,19.4,Control,20033115,,,,
35,I,4,In House,200331-17:0,Control,27,APOE44,female,9/11/14,25.7,4/23/16,19.4,19.0,1.62,True,200331-17:1,N58309_m00-m48,N58308,110.0,24.0,,19.4,Control,20033117,,,,
36,I,5,In House,200331-18:0,Control,28,APOE44,male,9/11/14,32.2,4/23/16,19.4,19.0,1.62,True,200331-18:1,N58310_m00-m48,N58311,110.0,26.0,,19.4,Control,20033118,,,,
37,I,7,In House,200302-10:0,Control,8,APOE22,male,10/1/14,33.2,4/23/16,18.73,19.0,1.56,True,200302-10:1,N58344_m00-m48,N58348,104.0,25.0,,18.73,Control,20030210,,,,
38,I,8,In House,200302-11:0,Control,9,APOE22,male,10/1/14,34.8,4/23/16,18.73,19.0,1.56,True,200302-11:1,N58346_m00-m48,N58349,116.0,25.0,,18.73,Control,20030211,,,,
39,I,9,In House,200302-12:0,Control,10,APOE22,male,10/1/14,36.5,4/23/16,18.73,19.0,1.56,True,200302-12:1,N58350_m00-m48,N58356,111.0,25.0,,18.73,Control,20030212,,,,
40,I,6,In House,200331-20:0,Control,30,APOE44,male,9/11/14,31.9,4/23/16,19.4,19.0,1.62,True,200331-20:1,N58355_m00-m48,N58358,109.0,27.0,,19.4,Control,20033120,,,,
41,II,4,In House,200302-6:0,Control,4,APOE22,female,10/22/14,27.6,5/7/16,18.5,19.0,1.54,True,200302-6:1,N58359_m00-m48,N58360,112.0,26.0,,18.5,Control,20030206,,,,
42,II,5,In House,200302-7:0,Control,5,APOE22,female,10/22/14,27.3,5/7/16,18.5,19.0,1.54,True,200302-7:1,N58361_m00-m48,N58362,109.0,26.0,,18.5,Control,20030207,,,,
43,II,1,In House,200302-3:0,Control,1,APOE22,male,10/22/14,31,5/7/16,18.5,19.0,1.54,True,200302-3:1,N58394_m00-m48,N58395,112.0,28.0,,18.5,Control,20030203,,,,
44,III,3,In House,200331-3:0,Control,13,APOE22,female,11/23/14,26.9,5/28/16,18.17,18.0,1.51,True,200331-3:1,N58394_m00-m48,N58395,,,18.17,18.17,Control,20033103,,,,
45,II,2,In House,200302-4:0,Control,2,APOE22,male,10/22/14,30.8,5/7/16,18.5,19.0,1.54,True,200302-4:1,N58396_m00-m48,N58397,111.0,28.0,,18.5,Control,20030204,,,,
46,II,3,In House,200302-5:0,Control,3,APOE22,male,10/22/14,31.5,5/7/16,18.5,19.0,1.54,True,200302-5:1,N58398_m00-m48,N58399,112.0,27.0,,18.5,Control,20030205,,,,
47,II,7,In House,200302-9:0,Control,7,APOE22,female,10/22/14,28,5/7/16,18.5,19.0,1.54,True,200302-9:1,N58402_m00-m48,N58403,105.0,27.0,18.5,18.5,Control,20030209,,,,
48,II,6,In House,200302-8:0,Control,6,APOE22,female,10/22/14,27.5,5/7/16,18.5,19.0,1.54,True,200302-8:1,N58404_m00-m48,N58405,107.0,27.0,18.5,18.5,Control,20030208,,,,
49,III,10,In House,200331-11:0,Control,21,APOE22,male,11/23/14,28.6,5/28/16,18.17,18.0,1.51,True,200331-11:1,N58406_m00-m48,N58407,104.0,27.0,18.17,18.17,Control,20033111,,,,
50,III,11,In House,200331-12:0,Control,22,APOE22,male,11/23/14,30.9,5/28/16,18.17,18.0,1.51,True,200331-12:1,N58408_m00-m48,N58409,117.0,27.0,18.17,18.17,Control,20033112,,,,
51,III,7,In House,200331-8:0,Control,18,APOE22,female,11/23/14,26.6,5/28/16,18.17,18.0,1.51,True,200331-8:1,N58477_m00-m48,N58478,95.0,24.0,18.17,18.17,Control,20033108,,,,
52,III,8,In House,200331-9:0,Control,19,APOE22,female,11/23/14,27.9,5/28/16,18.17,18.0,1.51,True,200331-9:1,N58500_m00-m48,N58501,100.0,25.0,18.17,18.17,Control,20033109,,,,
53,III,9,In House,200331-10:0,Control,20,APOE22,female,11/23/14,25.7,5/28/16,18.17,18.0,1.51,True,200331-10:1,N58510_m00-m48,N58511,94.0,25.0,18.17,18.17,Control,20033110,,,,
54,III,6,In House,200331-7:0,Control,17,APOE22,female,11/23/14,29.3,5/28/16,18.17,18.0,1.51,True,200331-7:1,N58512_m00-m48,N58513,93.0,26.0,18.17,18.17,Control,20033107,,,,
55,III,12,In House,200331-13:0,Control,23,APOE22,male,11/23/14,26.6,5/28/16,18.17,18.0,1.51,True,200331-13:1,N58514_m00-m48,N58515,95.0,27.0,18.17,18.17,Control,20033113,,,,
56,III,1,In House,200331-1:0,Control,11,APOE22,female,11/23/14,25.8,5/7/16,17.47,17.0,1.46,True,200331-1:1,N58516_m00-m48,N58517,97.0,24.0,17.47,17.47,Control,20033101,,,,
57,III,5,In House,200331-5:0,Control,15,APOE22,female,11/23/14,25.9,5/28/16,18.17,18.0,1.51,True,200331-5:1,N58604m00-m48,N58605,96.0,25.0,18.17,18.17,Control,20033105,,,,
58,III,4,In House,200331-4:0,Control,14,APOE22,female,11/23/14,27,5/28/16,18.17,18.0,1.51,True,200331-4:1,N58606m00-m48,N58607,88.0,25.0,18.17,18.17,Control,20033104,,,,
59,III,2,In House,200331-2:0,Control,12,APOE22,female,11/23/14,25.6,5/28/16,18.17,18.0,1.51,True,200331-2:1,N58608_m00-m48,N58609,88.0,25.0,18.17,18.17,Control,20033102,,,,
60,IV,1,In House,201015-1:0           ,Control,?,APOE33HN,male,12/11/15,32,10/14/16,10.1,10.0,0.84,False,201015-1:1,N58655_m00-m48,N58667,99.0,24.0,10.1,10.1,Control,20101501,,,,
61,V,1,In House,210113-1:0           ,Control,201026_1:0,APOE44HN,female,4/28/15,28.4,1/14/17,20.53,21.0,1.71,True,210113-1:1,N58706_m00-m48,N58707,105.0,27.0,20.53,20.53,Control,21011301,,,,
62,V,2,In House,210113-2:0           ,Control,201026_2:0,APOE44HN,female,8/11/15,31,1/14/17,17.1,17.0,1.43,True,210113-2:1,N58708_m00-m48,N58709,107.0,26.0,17.1,17.1,Control,21011302,,,,
63,V,3,In House,210113-3:0           ,Control,201026_3:0,APOE44HN,male,11/29/15,31.8,1/14/17,13.5,14.0,1.13,False,210113-3:1,N58712_m00-m48,N58713,116.0,27.0,13.5,13.5,Control,21011303,,,,
64,V,4,In House,210113-4:0           ,Control,201026_4:0,APOE44HN,male,4/28/15,28,1/14/17,20.53,21.0,1.71,True,210113-4:1,N58714_m00-m48,N58715,111.0,27.0,20.53,20.53,Control,21011304,,,,
65,VII,2,In House,210118-2:0           ,HFD,201012_2:0,APOE44HN,male,1/14/16,35.4,3/1/17,13.57,14.0,1.13,False,210118-2:1,N58733_m00-m48,N58737,109.0,26.0,13.57,13.57,HFD,21011802,,,,
66,VII,3,In House,210118-3:0           ,HFD,201012_3:0,APOE44HN,male,1/20/16,46.8,3/1/17,13.37,13.0,1.11,False,210118-3:1,N58734_m00-m48,N58738,113.0,25.0,13.37,13.37,HFD,21011803,,,,
67,VII,1,In House,210118-1:0           ,HFD,201012_1:0,APOE44HN,male,1/14/16,36.4,3/1/17,13.57,14.0,1.13,False,210118-1:1,N58735_m00-m48,N58739,102.0,26.0,13.57,13.57,HFD,21011801,,,,
68,VII,4,In House,210118-8:0           ,HFD,201012_8:0,APOE44HN,female,12/24/15,41.2,3/1/17,14.23,14.0,1.19,False,210118-8:1,N58735_m00-m48,N58739,130.0,28.0,14.23,14.23,HFD,21011808,,,,
69,VII,5,In House,210118-10:0           ,HFD,201012_10:0,APOE44HN,female,12/24/15,34.5,3/1/17,14.23,14.0,1.19,False,210118-10:1,N58740_m00-m48,N58741,102.0,26.0,14.23,14.23,HFD,21011810,,,,
70,VII,6,In House,210118-11:0           ,HFD,201012_11:0,APOE33HN,female,11/19/15,44.1,3/1/17,15.4,15.0,1.28,False,210118-11:1,N58742_m00-m48,N58743,106.0,26.0,15.4,15.4,HFD,21011811,,,,
71,VII,7,In House,210118-12:0           ,HFD,201012_12:0,APOE33HN,female,12/8/15,36.6,3/1/17,14.77,15.0,1.23,False,210118-12:1,N58745_m00-m48,N58746,106.0,26.0,14.77,14.77,HFD,21011812,,,,
72,VII,8,In House,21018-13:0           ,HFD,201012_13:0,APOE33HN,male,2/19/16,31.4,3/1/17,12.4,12.0,1.03,False,210118-13:1,N58747_m00-m48,N58748,106.0,26.0,12.4,12.4,HFD,2101813,,,,
73,VII,9,In House,210118-15:0           ,HFD,201012_15:0,APOE33,female,12/31/15,42.5,3/1/17,14.03,14.0,1.17,False,210118-15:1,N58749_m00-m48,N58750,106.0,26.0,14.03,14.03,HFD,21011815,,,,
74,VII,10,In House,210118-16:0           ,HFD,201012_16:0,APOE33,female,12/31/15,41.2,3/1/17,14.03,14.0,1.17,False,210118-16:1,N58751_m00-m48,N58752,107.0,26.0,14.03,14.03,HFD,21011816,,,,
75,VII,11,In House,210118-4:0           ,HFD,201012_4:0,APOE44HN,female,12/24/15,38.8,3/14/17,14.67,15.0,1.22,False,210118-4:1,N58779_m00-m48,N58782,104.0,27.0,14.67,14.67,HFD,21011804,,,,
76,VII,12,In House,210118-5:0           ,HFD,201012_5:0,APOE44HN,female,12/24/15,39.8,3/14/17,14.67,15.0,1.22,False,210118-5:1,N58780_m00-m48,N58781,110.0,28.0,,14.67,HFD,21011805,,,,
77,VII,13,In House,210118-6:0           ,HFD,201012_6:0,APOE44HN,female,12/24/15,39.7,3/14/17,14.67,15.0,1.22,False,210118-6:1,N58784_m00-m48,N58785,97.0,27.0,,14.67,HFD,21011806,,,,
78,VII,14,In House,210118-7:0           ,HFD,201012_7:0,APOE44HN,female,12/24/15,32.8,3/14/17,14.67,15.0,1.22,False,210118-7:1,N58788_m00-m48,N58789,104.0,26.0,,14.67,HFD,21011807,,,,
79,VII,15,In House,210118-9:0           ,HFD,201012_9:0,APOE44HN,female,12/24/15,31.9,3/15/17,14.7,15.0,1.23,False,210118-9:1,N58790_m00-m48,N58791,113.0,27.0,,14.7,HFD,21011809,,,,
80,VII,16,In House,210118-17:0           ,HFD,201012_17:0,APOE33,female,12/31/15,41.3,3/14/17,14.47,14.0,1.21,False,210118-17:1,N58792_m00-m48,N58793,106.0,27.0,,14.47,HFD,21011817,,,,
81,VII,17,In House,210118-18:0           ,HFD,201012_18:0,APOE33,female,12/31/15,44.3,3/14/17,14.47,14.0,1.21,False,210118-18:1,N58794_m00-m48,N58795,109.0,27.0,,14.47,HFD,21011818,,,,
82,VII,19,In House,210118-20:0           ,HFD,201012_20:0,APOE33,female,1/1/16,46.9,3/14/17,14.43,14.0,1.2,False,210118-20:1,N58813_m00-m48,N58814,106.0,27.0,,14.43,HFD,21011820,,,,
83,VII,20,In House,210118-21:0           ,HFD,201012_21:0,APOE33,female,1/1/16,33.8,3/15/17,14.47,14.0,1.21,False,210118-21:1,N58815_m00-m48,,104.0,27.0,d,14.47,HFD,21011821,,,,
84,VII,22,In House,210118-23:0           ,HFD,201012_23:0,APOE33,male,1/1/16,42,3/15/17,14.47,14.0,1.21,False,210118-23:1,N58819_m00-m48,,107.0,26.0,d,14.47,HFD,21011823,,,,
85,VII,21,In House,210118-22:0           ,HFD,201012_22:0,APOE33,male,1/1/16,46,3/15/17,14.47,14.0,1.21,False,210118-22:1,N58821_m00-m48,N58822,105.0,26.0,d,14.47,HFD,21011822,,,,
86,VII,18,In House,210118-19:0           ,HFD,201012_19:0,APOE33,female,1/1/16,40.3,3/14/17,14.43,14.0,1.2,False,210118-19:1,N58829_m00-m48,N58830,104.0,24.0,d,14.43,HFD,21011819,,,,
87,VII,23,In House,210118-24:0           ,HFD,201012_24:0,APOE33,male,12/31/15,43.8,3/15/17,14.5,15.0,1.21,False,210118-24:1,N58831_m00-m48,N58832,108.0,27.0,d,14.5,HFD,21011824,,,,
88,VII,24,In House,210118-25:0           ,HFD,201012_25:0,APOE33,male,12/31/15,43.9,3/15/17,14.5,15.0,1.21,False,210118-25:1,N58851_m00-m48,N58852,111.0,28.0,d,14.5,HFD,21011825,,,,
89,VII,25,In House,210118-26:0           ,HFD,201012_26:0,APOE33,male,12/31/15,54,3/15/17,14.5,15.0,1.21,False,210118-26:1,N58853_m00-m48,N58854,100.0,29.0,d,14.5,HFD,21011826,,,,
90,VII,26,In House,210118-27:0           ,HFD,201012_27:0,APOE33,male,12/31/15,43.1,3/15/17,14.5,15.0,1.21,False,210118-27:1,N58855_m00-m48,N58856,106.0,26.0,d,14.5,HFD,21011827,,,,
91,VIII,18,In House,210201-19:0,Control,210201_19,APOE22HN,male,3/14/16,27,5/24/17,14.33,14.0,1.19,False,210201-19:1,N58877_m00-m48,N58878,106.0,28.0,D,14.33,Control,21020119,,,,
92,VIII,14,In House,210201-15:0,Control,210201_15,APOE44,male,3/3/16,31.2,5/26/17,14.77,15.0,1.23,False,210201-15:1,N58879_m00-m48,N58880,93.0,25.0,D,14.77,Control,21020115,,,,
93,VIII,15,In House,210201-16:0,Control,210201_16,APOE44,male,3/3/16,34.1,5/26/17,14.77,15.0,1.23,False,210201-16:1,N58881_m00-m48,N58882,102.0,25.0,D,14.77,Control,21020116,,,,
94,VIII,9,In House,210201-10:0,Control,210201_10,APOE44,female,3/3/16,24.9,6/2/17,14.97,15.0,1.25,False,210201-10:1,N58883_m00-m48,N58884,107.0,26.0,d,14.97,Control,21020110,,,,
95,VIII,11,In House,210201-12:0,Control,210201_12,APOE44,male,3/17/16,30.9,5/26/17,14.3,14.0,1.19,False,210201-12:1,N58885_m00-m48,N58886,107.0,25.0,D,14.3,Control,21020112,,,,
96,VIII,10,In House,210201-11:0,Control,210201_11,APOE44,male,3/17/16,29.2,5/26/17,14.3,14.0,1.19,False,210201-11:1,N58887_m00-m48,N58888,104.0,24.0,D,14.3,Control,21020111,,,,
97,VIII,16,In House,210201-17:0,Control,210201_17,APOE44,male,1/7/16,32.8,6/2/17,16.83,17.0,1.4,True,210201-17:1,N58889_m00-m48,N58890,109.0,27.0,AD,16.83,Control,21020117,,,,
98,VIII,8,In House,210201-9:0,Control,210201_9,APOE44,female,3/3/16,25.6,6/2/17,14.97,15.0,1.25,False,210201-9:1,N58906_m00-m48,N58907,113.0,25.0,AD,14.97,Control,21020109,,,,
99,VIII,7,In House,210201-8:0,Control,210201_8,APOE44,female,3/3/16,25.2,6/2/17,14.97,15.0,1.25,False,210201-8:1,N58909_m00-m48,N58910,113.0,25.0,AD,14.97,Control,21020108,,,,
100,VI,1,In House,210216-1:0           ,Control,?,APOE22HN,male,6/15/16,29.5,2/15/17,8.0,8.0,0.67,False,210216-1:1,,,,,8,8,Control,21021601,,,,
101,VIII,25,In House,210222-7:0,Control,210222_7,APOE33,female,2/22/16,40.9,6/7/17,15.5,16.0,1.29,False,210222-7:1,N58917,N58918,,,,15.5,Control,21022207,,,,
102,VIII,26,In House,210222-8:0,Control,210222_8,APOE33,female,2/22/16,29,6/7/17,15.5,16.0,1.29,False,210222-8:1,N58995-m00-m48,N58996,,,,15.5,Control,21022208,,,,
103,VIII,27,In House,210222-9:0,Control,210222_9,APOE33,female,2/22/16,33.2,6/7/17,15.5,16.0,1.29,False,210222-9:1,N59005-m00-m48,N59006,103.0,27.0,,15.5,Control,21022209,,,,
104,16,original_2019_scans,In House,190715_1:1,Control,190715_1,APOE33,male,4/25/14,32.7,9/12/15,16.57,17.0,1.38,,190715_1:1,N57472,N57473,113.0,26.0,,16.57,Control,19071501,8.0,19071501,True,True
105,VIII,5,In House,210201-6:0,Control,210201_6,APOE44,female,3/3/16,26.3,6/2/17,14.97,15.0,1.25,False,210201-6:1,N58913_m00-m48,N58914,112.0,26.0,,14.97,Control,21020106,,,,
106,VIII,6,In House,210201-7:0,Control,210201_7,APOE44,female,3/3/16,25.7,6/2/17,14.97,15.0,1.25,False,210201-7:1,N58915_m00-m48,N58916,110.0,25.0,,14.97,Control,21020107,,,,
107,VIII,12,In House,210201-13:0,Control,210201_13,APOE44,male,3/17/16,27.9,5/26/17,14.3,14.0,1.19,False,210201-13:1,N58919,N58920,,,,14.3,Control,21020113,,,,
108,VIII,13,In House,210201-14:0,Control,210201_14,APOE44,male,3/3/16,30.3,5/26/17,14.77,15.0,1.23,False,210201-14:1,,,,,,14.77,Control,21020114,,,,
109,VIII,17,In House,210201-18:0,Control,210201_18,APOE44,male,1/7/16,30.6,6/2/17,16.83,17.0,1.4,True,210201-18:1,,,,,,16.83,Control,21020118,,,,
110,VIII,19,In House,210222-1:0,Control,210222_1,APOE33HN,female,3/9/16,29.8,5/24/17,14.5,15.0,1.21,False,210222-1:1,,,,,,14.5,Control,21022201,,,,
111,VIII,20,In House,210222-2:0,Control,210222_2,APOE33HN,female,3/9/16,28.9,5/24/17,14.5,15.0,1.21,False,210222-2:1,,,,,,14.5,Control,21022202,,,,
112,VIII,21,In House,210222-3:0,Control,210222_3,APOE33HN,male,3/9/16,32.3,5/24/17,14.5,15.0,1.21,False,210222-3:1,,,,,,14.5,Control,21022203,,,,
113,VIII,22,In House,210222-4:0,Control,210222_4,APOE33HN,male,3/9/16,35.9,5/24/17,14.5,15.0,1.21,False,210222-4:1,,,,,,14.5,Control,21022204,,,,
114,VIII,23,In House,210222-5:0,Control,210222_5,APOE33HN,male,3/9/16,32.8,5/24/17,14.5,15.0,1.21,False,210222-5:1,,,,,,14.5,Control,21022205,,,,
115,VIII,24,In House,210222-6:0,Control,210222_6,APOE33HN,male,3/9/16,33.8,5/24/17,14.5,15.0,1.21,False,210222-6:1,,,,,,14.5,Control,21022206,,,,
116,17,original_2019_scans,In House,190715_2:1,Control,190715_2,APOE33,male,4/25/14,36.9,9/12/15,16.57,17.0,1.38,,190715_2:1,N57474,N57549,113.0,26.0,,16.57,Control,19071502,9.0,19071502,True,True
117,18,original_2019_scans,In House,190715_3:1,Control,190715_3,APOE33,male,4/25/14,32.4,9/12/15,16.57,17.0,1.38,,190715_3:1,N57550,N57551,116.0,26.0,,16.57,Control,19071503,10.0,19071503,True,True
118,VIII,1,In House,210201-2:0,Control,210201_2,APOE33,female,1/1/16,31.2,6/8/17,17.23,17.0,1.44,True,210201-2:1,N59003-m00-m48,N59004,64.0,26.0,,17.23,Control,21020102,,,,
119,VIII,2,In House,210201-3:0,Control,210201_3,APOE33,female,1/1/16,34.6,6/8/17,17.23,17.0,1.44,True,210201-3:1,,,,,,17.23,Control,21020103,,,,
120,VIII,3,In House,210201-4:0,Control,210201_4,APOE33,female,1/1/16,33.6,6/8/17,17.23,17.0,1.44,True,210201-4:1,,,,,,17.23,Control,21020104,,,,
121,VIII,4,In House,210201-5:0,Control,210201_5,APOE33,female,1/1/16,28.5,6/8/17,17.23,17.0,1.44,True,210201-5:1,,,,,,17.23,Control,21020105,,,,
122,25,original_2019_scans,In House,190909_14:1,Control,190909_14,APOE33,female,4/25/14,28.1,10/9/15,17.47,17.0,1.46,,190909_14:1,N57590,N57591,111.0,17.0,,17.47,Control,19090914,,,,
123,,original_2019_scans,In House,190909_10:1,Control,190909_10,APOE33,male,4/25/14,36.4,10/11/15,17.53,18.0,1.46,,190909_10:1,N57460,N57461,112.0,24.0,,17.53,Control,19090910,,,,
124,22,original_2019_scans,In House,190909_10:1,Control,190909_10,APOE33,female,4/25/14,36.4,10/11/15,17.53,18.0,1.46,,190909_10:1,N57580,N57581,125.0,27.0,,17.53,Control,19090910,,,,
125,VIII,34,In House,210222-16:0,Control,210222_16,APOE22,male,2/16/16,/, 6/7/21                                                       Dying during image                                             by Dr. Badea                       ,,0.0,#VALUE!,,210222-16:1,,,,,Did not draw the blood ,#VALUE!,Control,21022216,,,,
126,VIII,35,In House,210222-17:0,Control,210222_17,APOE22,female,2/16/16,28.3,6/7/17,15.7,16.0,1.31,False,210222-17:1,,,,,,15.7,Control,21022217,,,,
127,23,original_2019_scans,In House,190909_11:1,Control,190909_11,APOE33,female,4/25/14,36.2,10/11/15,17.53,18.0,1.46,,190909_11:1,N57582,N57583,108.0,24.0,,17.53,Control,19090911,16.0,19090911,True,True
