Structure,Abbreviation,Hemisphere,Level_1,Level_2,Level_3,Level_4,Subdivisions_7,index,index2,clusfound,Subdivisions_7_nowm
Stria_Terminalis,st,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,289,1123,0,7_whitematter
Cingulum,cg,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,290,1124,0,7_whitematter
Lateral_Olfactory_Tract,lo,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,291,1125,0,7_whitematter
Ventral_Hippocampal_Commissure,vhc,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,292,1126,0,7_whitematter
Internal_Capsule,ic,Right,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,293,1127,0,7_whitematter
Fasciculus_Retroflexus,fr,Right,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,294,1128,0,7_whitematter
Stria_Medularis,sm,Right,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,295,1129,0,7_whitematter
Mamillothalamic_Tract,mt,Right,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,296,1130,0,7_whitematter
Posterior_Commissure,pc,Right,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,297,1131,0,7_whitematter
Brachium_of_Superior_Colliculus,bsc,Right,4_white_matter_tracts,midbrain_white_matter,colliculi_white_matter,white_matter,7_whitematter,298,1132,0,7_whitematter
Cerebral_Peduncle,cp,Right,4_white_matter_tracts,midbrain_white_matter,other_midbrain_white_matter,white_matter,7_whitematter,299,1133,0,7_whitematter
Lateral_Lemniscus,ll,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,300,1134,0,7_whitematter
Spinal_Trigeminal_Nerve,sp5,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,301,1135,0,7_whitematter
Pyramidal_Tract,py,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,302,1136,0,7_whitematter
Vestibulocochlear_Nerve,n8,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,303,1137,0,7_whitematter
Facial_Nerve,n7,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,304,1138,0,7_whitematter
Longitudinal_Fasciculus_of_Pons,lfp,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,305,1139,0,7_whitematter
Medial_Longitudinal_Fasciculus_and_Tectospinal_Tract,mlf_ts,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,306,1140,0,7_whitematter
Spinocerebellar_Tract,sc,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,307,1141,0,7_whitematter
Medial_Lemniscus,ml,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,308,1142,0,7_whitematter
Ventral_Spinocerebellar_Tract,vsc,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,309,1143,0,7_whitematter
Middle_Cerebellar_Peduncle,mcp,Right,4_white_matter_tracts,hindbrain_white_matter,cerebellar_white_matter,white_matter,7_whitematter,310,1144,0,7_whitematter
Superior_Cerebellar_Peduncle,scp,Right,4_white_matter_tracts,hindbrain_white_matter,cerebellar_white_matter,white_matter,7_whitematter,311,1145,0,7_whitematter
Inferior_Cerebellar_Peduncle,icp_oc_tz,Right,4_white_matter_tracts,hindbrain_white_matter,cerebellar_white_matter,white_matter,7_whitematter,312,1146,0,7_whitematter
Cerebellar_White_Matter,cbw,Right,4_white_matter_tracts,hindbrain_white_matter,cerebellar_white_matter,white_matter,7_whitematter,313,1147,0,7_whitematter
Lateral_Ventricle,LV,Right,5_ventricular_system,forebrain,forebrain_CSF,cerebrospinal_fluid,8_CSF,314,1148,0,8_CSF
Cingulate_Cortex_Area_25,A25,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,315,1149,0,1_isocortex
Dorsal_Acustic_Stria,das,Right,4_white_matter_tracts,pontine_hindbrain,axial_hindbrain_white_matter,white_matter,7_whitematter,316,1150,0,7_whitematter
Postsubiculum,Post,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,6_medial_pallium,2_pallium,317,1151,0,2_pallium
Ventricular_System_4thVentricle,4V,Right,5_ventricular_system,hindbrain,hindbrain_CSF,cerebrospinal_fluid,8_CSF,318,1152,0,8_CSF
Microcellular_Tegmental_Nucleus,MiTg,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,319,1153,0,6_hindbrain
Pretectal_Nucleus,APT,Right,1_forebrain,2_diencephalon,p1,15_pretectum,4_diencephalon,320,1154,0,4_diencephalon
Latero_Dorsal_Thalamic_Nucleus_Ventro_Lateral,LDVL,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,321,1155,0,4_diencephalon
Latero_Posterior_Nuclei_of_Thalamus,LP,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,322,1156,0,4_diencephalon
Anterior_Thalamic_Nuclei,AThal,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,323,1157,0,4_diencephalon
Red_Nucleus_Magnocellular,RMC,Right,2_midbrain,m1,m1,1_pretectal_tegmentum,4_diencephalon,324,1158,0,4_diencephalon
Pararubral_Nucleus,PaR,Right,2_midbrain,m1,p1_and_m1_and_m2,2_midbrain_tegmentum,5_midbrain,325,1159,0,5_midbrain
Retro_Rubral_Field,RR,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,326,1160,0,6_hindbrain
Cerebrospinal_fluid,CSF,Right,5_ventricular_system,combo,combo,CSF,8_CSF,327,1161,0,8_CSF
IntermediateReticularNucleus,IRN,Right,3_hindbrain,pontine_hindbrain,,axial_hindbrain_white_matter,6_hindbrain,328,1162,0,6_hindbrain
PosteriorDorsal_ParaventricularMedialParvicellular_Posterior_LateralHypothalamus,PHD_PaMP_Post_and_LatHy,Right,1_forebrain,1_secondary_prosencephalon,8_rostral_secondary_prosencephalon,5_hypothalamus,4_diencephalon,329,1163,0,4_diencephalon
Prerubral_Forel,PR_p3Tg_L,Right,1_forebrain,2_diencephalon,p2_and_p3,17_thalamus,4_diencephalon,330,1164,0,4_diencephalon
PVG_of_Hypothalamus,PVG,Right,1_forebrain,1_secondary_prosencephalon,8_rostral_secondary_prosencephalon,5_hypothalamus,4_diencephalon,331,1165,0,4_diencephalon
Basal Lateral Amygdala,BLA,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,8_pallial_and_subpallial_amygdala,2_pallium,332,1166,0,2_pallium
TotalBrain,Brain,Bilateral,,,,,,333,,0,
